trade_date,open,high,low,close,volume
2023-08-17,1660.8773182269695,1686.552645302679,1656.711514801004,1681.0810050412006,17290
2023-08-18,1684.704242458045,1687.4630526739163,1657.6679023425058,1657.6679023425058,17023
2023-08-21,1648.8489056857707,1668.151381162817,1646.1544677082695,1647.0096988751898,18912
2023-08-22,1656.1965368940412,1657.6403142403472,1628.6360228374865,1644.2508886593184,26650
2023-08-23,1652.5273193069324,1655.2861295228038,1627.7715956365134,1631.376440985252,19912
2023-08-24,1636.5446121229843,1681.0350248709362,1632.2960443905424,1670.275665029038,26055
2023-08-25,1663.3694434553067,1690.0195501406238,1660.8129459885993,1678.257822586959,18831
2023-08-28,1745.9406332163358,1745.9406332163358,1684.6030860834633,1687.4446606058107,41052
2023-08-29,1681.0350248709362,1718.8123327602677,1681.0350248709362,1702.4893723163623,28950
2023-08-30,1717.7272007420252,1717.819161082554,1695.4360141977847,1706.7839202190687,19812
2023-08-31,1710.4623338402305,1710.4623338402305,1692.9990651737648,1698.5074895714547,14820
2023-09-01,1703.8687774242978,1715.4925644671694,1697.615474268323,1702.231883362881,13145
2023-09-04,1712.8533026939856,1728.799225741722,1704.5124998080012,1715.9799542719732,23871
2023-09-05,1717.819161082554,1717.819161082554,1707.519602943301,1709.266849413353,15659
2023-09-06,1708.6231270296496,1716.586892519465,1700.3558924160884,1711.381937245521,11121
2023-09-07,1703.6572686410811,1707.6023672497772,1683.9685597338128,1690.2310589238407,16982
2023-09-08,1687.417072503652,1687.417072503652,1669.034200431896,1672.298792520677,12212
2023-09-11,1662.6429567651273,1692.0702657344216,1662.6429567651273,1675.6737370180929,15926
2023-09-12,1679.7475801035296,1680.09702939754,1670.0181760755565,1673.641413492401,12168
2023-09-13,1682.8006634090939,1682.8006634090939,1655.332109693068,1673.5954333221366,19501
2023-09-14,1676.0047942439974,1680.09702939754,1660.8037499545464,1672.473517167682,17505
2023-09-15,1672.7585942233222,1673.4758848794486,1638.0895458438722,1638.7240721935227,28431
2023-09-18,1633.500724851473,1682.4144299788718,1630.4568375799615,1682.1385489572847,32559
2023-09-19,1675.7013251202516,1681.9546282762267,1662.6429567651273,1680.0602452613284,14990
2023-09-20,1675.5174044391936,1682.8742316815171,1671.8849709882961,1677.3566112497745,12502
2023-09-21,1671.8481868520846,1675.5174044391936,1653.805568040286,1653.805568040286,19489
2023-09-22,1660.463496694589,1701.2295156511145,1648.3063396766493,1700.3466963820356,34390
2023-09-25,1698.9672912740998,1699.4270929767451,1679.7383840694765,1685.0628877861084,13979
2023-09-26,1681.0350248709362,1687.3618962993346,1667.3329341321084,1669.999784007451,15762
2023-09-27,1669.0801806021605,1686.0928436000336,1657.8610190576169,1668.16057719687,20880
2023-09-28,1678.257822586959,1678.257822586959,1653.2630020311647,1653.9527045851326,20538
2023-10-09,1652.472143102615,1652.472143102615,1623.008049997109,1634.1352512011233,29763
2023-10-10,1639.5517152582843,1654.3481340494075,1625.8588205535093,1627.6980273640902,20284
2023-10-11,1641.1702172515954,1641.1702172515954,1625.8588205535093,1635.514656309059,21945
2023-10-12,1653.3549623716938,1653.6584314954396,1634.3191718821815,1642.4116818487375,14865
2023-10-13,1628.5072783607459,1635.0640506404668,1598.4454430418014,1610.2255626635717,25028
2023-10-16,1610.207170595466,1614.823579690024,1583.9708854425296,1590.8219308119435,20790
2023-10-17,1599.1903218000864,1599.5949472984144,1578.0394434784062,1587.2354775313106,14945
2023-10-18,1580.6143330132195,1601.9491320159577,1579.124575496649,1589.0746843418915,20318
2023-10-19,1563.325788993759,1563.3533770959177,1495.3027251044248,1498.9535506234279,73492
2023-10-20,1498.9535506234279,1521.943635755689,1486.3090038006842,1512.7476017027846,45376
2023-10-23,1498.9259625212692,1526.5416527821412,1491.2288820189879,1511.8096062293882,25234
2023-10-24,1515.5064119186559,1520.4354861710126,1490.8702366909247,1510.862414721939,29861
2023-10-25,1535.8388432096276,1561.4865821831781,1532.9972686872802,1542.634712374724,36179
2023-10-26,1532.9788766191743,1552.2905481302737,1528.390055626775,1537.7884024288433,22386
2023-10-27,1530.220066403303,1555.8586093428007,1527.0934148253154,1541.9082256845445,34262
2023-10-30,1534.8180834297552,1553.0997991269294,1534.8180834297552,1545.8533242932406,24086
2023-10-31,1544.9337208879501,1554.1297549408546,1533.7605395136711,1549.1455044841803,19859
2023-11-01,1701.266299787326,1701.266299787326,1631.1833242701412,1637.8044687882323,93143
2023-11-02,1650.6881124963516,1650.6881124963516,1633.2708240001502,1636.4342597143495,27908
2023-11-03,1636.8940614169949,1668.9790242275785,1631.376440985252,1665.6224717982684,30176
2023-11-06,1673.6781976286127,1677.1634945346634,1656.316085336729,1666.3213703862891,25524
2023-11-07,1659.884146549256,1664.4821635757082,1640.6460433105797,1647.166031454089,19582
2023-11-08,1640.618455208421,1658.7806224629073,1639.5333231901782,1653.7595878700215,14546
2023-11-09,1646.191251844481,1654.3665261175133,1639.6528716328662,1649.8696654656428,12800
2023-11-10,1637.3998432899045,1644.2508886593184,1630.5487979204906,1633.0685112509864,16466
2023-11-13,1629.7947231281526,1641.3817260348123,1615.7247910272088,1622.1804069323475,18370
2023-11-14,1622.1804069323475,1632.2868483564896,1618.5111893452388,1623.3483032570664,12817
2023-11-15,1635.9744580117044,1639.5517152582843,1624.9392171482189,1630.3924653415913,18435
2023-11-16,1631.376440985252,1633.2156477958329,1618.5479734814503,1618.5479734814503,12558
2023-11-17,1611.1451660688622,1617.5823899058953,1598.178758054267,1612.4510029043747,21714
2023-11-20,1613.9039762847335,1627.238225661445,1597.0384498317069,1620.801001824412,18608
2023-11-21,1640.039105063088,1653.4469227122229,1627.7899877046193,1646.0900954698993,30098
2023-11-22,1639.928752654453,1650.0903702829125,1637.3906472558515,1638.2826625589832,12665
2023-11-23,1635.3307356280009,1644.2508886593184,1628.6176307693806,1642.4116818487375,11550
2023-11-24,1645.1704920646089,1645.1704920646089,1632.2960443905424,1634.1352512011233,13085
2023-11-27,1630.7327186015486,1630.7327186015486,1613.9039762847335,1621.260803527057,16261
2023-11-28,1619.4215967164762,1631.2660885766172,1616.6627865006049,1626.8152080950115,14520
2023-11-29,1625.8588205535093,1633.2156477958329,1616.6627865006049,1632.0293594030084,17149
2023-11-30,1633.877762247642,1650.4674076790818,1628.6911990418039,1647.4695005778349,21353
2023-12-01,1645.4555691202488,1645.8142144483122,1607.4667524477004,1618.7594822646672,33051
2023-12-04,1618.7594822646672,1620.1848675428673,1604.9654311853105,1609.9588776760377,18440
2023-12-05,1608.184043103827,1608.276003444356,1570.7010083041885,1571.602219641373,29903
2023-12-06,1565.744345949673,1581.2304672947641,1564.3649408417373,1566.0845992096304,23851
2023-12-07,1567.0042026149208,1571.6757879137963,1551.6468257465704,1563.325788993759,25042
2023-12-08,1563.325788993759,1571.4550830965266,1556.1712745005993,1567.850237747788,26288
2023-12-11,1554.1297549408546,1567.0042026149208,1523.78284256627,1561.4865821831781,36831
2023-12-12,1551.9227067681575,1572.5126270126107,1548.612134509112,1572.5126270126107,21011
2023-12-13,1568.1261187693751,1568.5859204720205,1523.856410838693,1526.5416527821412,38789
